scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,275280,200872,359100,158228,true,0.10112
product_independent,0.5,250000,220720,159094,294120,135026,true,0.11712
product_independent,0.5,250000,291575,213428,378820,165392,true,0.1663
product_independent,0.5,250000,317504,234840,407167,172327,true,0.270016
product_independent,0.5,250000,226310,163440,300576,137136,true,0.09476
product_independent,0.5,250000,235492,170435,311708,141273,true,0.058032
product_independent,0.5,250000,282240,206400,367608,161208,true,0.12896
product_independent,0.5,250000,256688,186335,337762,151427,true,0.026752
product_independent,0.5,250000,270600,197349,353750,156401,true,0.0824
product_independent,0.5,250000,260760,190226,342996,152770,true,0.04304
product_independent,0.5,250000,296608,217752,384180,166428,true,0.186432
product_independent,0.5,250000,245116,177355,323338,145983,true,0.019536
product_independent,0.5,250000,334075,247500,428364,180864,true,0.3363
product_independent,0.5,250000,258630,188020,338940,150920,true,0.03452
product_independent,0.5,250000,283945,207370,369520,162150,true,0.13578
product_independent,0.5,250000,291930,213724,378630,164906,true,0.16772
product_independent,0.5,250000,261080,190070,343382,153312,true,0.04432
product_independent,0.5,250000,294975,216315,382724,166409,true,0.1799
product_independent,0.5,250000,273504,199920,357246,157326,true,0.094016
product_independent,0.5,250000,278780,203846,364206,160360,true,0.11512
product_independent,0.5,250000,276595,201978,361712,159734,true,0.10638
product_independent,0.5,250000,240096,173885,318092,144207,true,0.039616
product_independent,0.5,250000,245952,178450,324836,146386,true,0.016192
product_independent,0.5,250000,236728,171035,313654,142619,true,0.053088
product_independent,0.5,250000,319200,235200,410856,175656,true,0.2768
product_independent,0.5,250000,314045,231290,405093,173803,true,0.25618
