trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
201,7919,3,125000,114816,86688.00,151164.00,64476.00,0.5158,true,0.081472,102578.89,152988.60,50409.70,true,1.2790
202,15838,3,125000,140556,105938.00,178640.00,72702.00,0.5816,true,0.124448,102275.82,153132.44,50856.62,true,1.4295
203,23757,3,125000,126720,94600.00,159536.00,64936.00,0.5195,true,0.013760,102847.00,152594.36,49747.36,true,1.3053
204,31676,3,125000,118910,88200.00,153459.00,65259.00,0.5221,true,0.048720,103026.04,153124.35,50098.31,true,1.3026
205,39595,3,125000,122400,89010.00,154440.00,65430.00,0.5234,true,0.020800,102736.35,153399.63,50663.28,true,1.2915
206,47514,3,125000,143208,108241.00,181888.00,73647.00,0.5892,true,0.145664,102288.49,152707.26,50418.76,true,1.4607
207,55433,3,125000,129030,96350.00,165200.00,68850.00,0.5508,true,0.032240,102025.68,152711.14,50685.46,true,1.3584
208,63352,3,125000,127008,99000.00,165672.00,66672.00,0.5334,true,0.016064,102489.36,152983.87,50494.51,true,1.3204
209,71271,3,125000,127400,99360.00,169290.00,69930.00,0.5594,true,0.019200,103002.38,153403.21,50400.83,true,1.3875
210,79190,3,125000,115000,86940.00,145800.00,58860.00,0.4709,true,0.080000,103095.05,153245.39,50150.34,true,1.1737
211,87109,3,125000,127041,97008.00,165648.00,68640.00,0.5491,true,0.016328,102698.27,152763.76,50065.49,true,1.3710
212,95028,3,125000,132600,99452.00,166320.00,66868.00,0.5349,true,0.060800,102121.01,153736.93,51615.92,true,1.2955
213,102947,3,125000,117453,90945.00,154336.00,63391.00,0.5071,true,0.060376,102780.87,153273.57,50492.70,true,1.2554
214,110866,3,125000,143312,108288.00,181944.00,73656.00,0.5892,true,0.146496,103100.15,152702.89,49602.74,true,1.4849
215,118785,3,125000,151632,115248.00,191748.00,76500.00,0.6120,true,0.213056,102604.07,154072.23,51468.16,true,1.4864
216,126704,3,125000,156800,124384.00,204655.00,80271.00,0.6422,true,0.254400,102758.46,153359.30,50600.83,true,1.5864
217,134623,3,125000,140000,103275.00,174960.00,71685.00,0.5735,true,0.120000,102789.48,153339.53,50550.05,true,1.4181
218,142542,3,125000,154440,117453.00,194880.00,77427.00,0.6194,true,0.235520,103175.32,153252.91,50077.59,true,1.5461
219,150461,3,125000,110032,82656.00,145350.00,62694.00,0.5016,true,0.119744,102475.23,152330.40,49855.17,true,1.2575
220,158380,3,125000,137445,103400.00,175112.00,71712.00,0.5737,true,0.099560,102921.61,153959.72,51038.11,true,1.4051
221,166299,3,125000,122500,95220.00,163350.00,68130.00,0.5450,true,0.020000,102455.20,153619.94,51164.74,true,1.3316
222,174218,3,125000,117312,88924.00,154336.00,65412.00,0.5233,true,0.061504,102764.06,153078.94,50314.88,true,1.3001
223,182137,3,125000,127400,97200.00,163134.00,65934.00,0.5275,true,0.019200,102586.90,153355.36,50768.45,true,1.2987
224,190056,3,125000,135200,105984.00,178695.00,72711.00,0.5817,true,0.081600,103111.30,153304.33,50193.03,true,1.4486
225,197975,3,125000,127400,93060.00,160272.00,67212.00,0.5377,true,0.019200,102233.23,152522.18,50288.95,true,1.3365
226,205894,3,125000,129744,94944.00,163020.00,68076.00,0.5446,true,0.037952,102740.38,153061.41,50321.03,true,1.3528
227,213813,3,125000,142100,104940.00,177444.00,72504.00,0.5800,true,0.136800,103026.30,153586.19,50559.89,true,1.4340
228,221732,3,125000,139776,105468.00,177632.00,72164.00,0.5773,true,0.118208,103047.20,152997.44,49950.24,true,1.4447
229,229651,3,125000,124550,92610.00,159732.00,67122.00,0.5370,true,0.003600,102674.49,153036.83,50362.35,true,1.3328
230,237570,3,125000,122304,90945.00,157248.00,66303.00,0.5304,true,0.021568,102480.60,153274.36,50793.76,true,1.3053
