trial_id,seed,pass_rate,sample_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
45,356355,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
46,364274,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
46,364274,0.01,5,10,12,8.00,19.00,11.00,true,0.200000
46,364274,0.01,10,10,14,10.00,21.00,11.00,true,0.400000
46,364274,0.01,25,10,12,8.00,16.00,8.00,true,0.200000
46,364274,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
46,364274,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
46,364274,0.01,200,10,10,8.00,11.00,3.00,true,0.000000
46,364274,0.01,500,10,10,8.00,11.00,3.00,true,0.000000
47,372193,0.01,1,10,15,9.00,25.00,16.00,true,0.500000
47,372193,0.01,5,10,11,7.00,17.00,10.00,true,0.100000
47,372193,0.01,10,10,11,7.00,16.00,9.00,true,0.100000
47,372193,0.01,25,10,10,7.00,13.00,6.00,true,0.000000
47,372193,0.01,50,10,10,7.00,12.00,5.00,true,0.000000
47,372193,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
47,372193,0.01,200,10,10,8.00,11.00,3.00,true,0.000000
47,372193,0.01,500,10,10,8.00,11.00,3.00,true,0.000000
48,380112,0.01,1,10,16,9.00,25.00,16.00,true,0.600000
48,380112,0.01,5,10,17,11.00,26.00,15.00,false,0.700000
48,380112,0.01,10,10,17,12.00,25.00,13.00,false,0.700000
48,380112,0.01,25,10,12,9.00,17.00,8.00,true,0.200000
48,380112,0.01,50,10,12,9.00,16.00,7.00,true,0.200000
48,380112,0.01,100,10,11,9.00,14.00,5.00,true,0.100000
48,380112,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
48,380112,0.01,500,10,10,8.00,11.00,3.00,true,0.000000
49,388031,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
49,388031,0.01,5,10,19,12.00,29.00,17.00,false,0.900000
49,388031,0.01,10,10,15,10.00,22.00,12.00,true,0.500000
49,388031,0.01,25,10,13,10.00,18.00,8.00,true,0.300000
49,388031,0.01,50,10,12,9.00,15.00,6.00,true,0.200000
49,388031,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
49,388031,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
49,388031,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
