trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
407,55433,moderate,first_class,0.1,500,true,2,19,335360,0,0
408,63352,moderate,first_class,0.1,500,true,7,23,209710,0,0
409,71271,moderate,first_class,0.1,500,true,7,27,938390,0,0
410,79190,moderate,first_class,0.1,500,true,12,90,822310,0,0
411,87109,moderate,first_class,0.1,500,true,4,27,121500,0,0
412,95028,moderate,first_class,0.1,500,true,5,22,902230,0,0
413,102947,moderate,first_class,0.1,500,true,5,33,732950,0,0
414,110866,moderate,first_class,0.1,500,true,21,235,567210,0,0
415,118785,moderate,first_class,0.1,500,true,4,45,677810,0,0
416,126704,moderate,first_class,0.1,500,true,19,39,12860,0,0
417,134623,moderate,first_class,0.1,500,true,1,22,27700,0,0
418,142542,moderate,first_class,0.1,500,true,3,22,935240,0,0
419,150461,moderate,first_class,0.1,500,true,11,26,670910,0,0
420,158380,moderate,first_class,0.1,500,true,1,18,965740,0,0
421,166299,moderate,first_class,0.1,500,true,1,17,301620,0,0
422,174218,moderate,first_class,0.1,500,true,7,22,203120,0,0
423,182137,moderate,first_class,0.1,500,true,17,29,224160,0,0
424,190056,moderate,first_class,0.1,500,true,13,26,837070,0,0
425,0,moderate,double_negation,0.1,500,true,1,27,266430,0,0
426,7919,moderate,double_negation,0.1,500,true,1,19,690100,0,0
